Year,Date,SectionID,text,fallacy,subcategory,Speaker,real_date
1980,28Oct,6,"I am suggesting that there are literally thousands of unnecessary regulations that invade every facet of business, and indeed, very much of our personal lives, that are unnecessary; that Government can do without; that have added $130 billion to the cost of production in this country; and that are contributing their part to inflation.",FalseCause,False cause,REAGAN,28 10 1980
1980,28Oct,6,"I am suggesting that there are literally thousands of unnecessary regulations that invade every facet of business, and indeed, very much of our personal lives, that are unnecessary; that Government can do without; that have added $130 billion to the cost of production in this country; and that are contributing their part to inflation.",FalseCause,False cause,REAGAN,28 10 1980
1980,28Oct,6,"I am suggesting that there are literally thousands of unnecessary regulations that invade every facet of business, and indeed, very much of our personal lives, that are unnecessary; that Government can do without; that have added $130 billion to the cost of production in this country; and that are contributing their part to inflation.",FalseCause,False cause,REAGAN,28 10 1980
1980,28Oct,6,"I am suggesting that there are literally thousands of unnecessary regulations that invade every facet of business, and indeed, very much of our personal lives, that are unnecessary; that Government can do without; that have added $130 billion to the cost of production in this country; and that are contributing their part to inflation.",FalseCause,False cause,REAGAN,28 10 1980
1980,28Oct,6,He wants to put all our eggs in one basket and give that basket to the major oil companies.,AdHominem,Circumstantial Ad hominem,CARTER,28 10 1980
2008,15Oct,6,a very healthy discussion,AppealtoEmotion,Loaded Language,MCCAIN,15 10 2008
2008,15Oct,6,America needs a new direction.,AppealtoEmotion,Flag waving,MCCAIN,15 10 2008
2008,15Oct,6,the great honor of my life,AppealtoEmotion,Loaded Language,MCCAIN,15 10 2008
2008,15Oct,6,I think we all know America is going through tough times right now.,AppealtoEmotion,Flag waving,OBAMA,15 10 2008
2008,15Oct,6,the worst economic crisis,AppealtoEmotion,Loaded Language,OBAMA,15 10 2008
2008,15Oct,6,our brighter days,AppealtoEmotion,Loaded Language,OBAMA,15 10 2008
2008,15Oct,6,the extraordinary honor,AppealtoEmotion,Loaded Language,OBAMA,15 10 2008
2008,15Oct,6,"All of these things and all the promises and commitments that Senator Obama and I made (inaudible) made to you tonight will base -- will be based on whether you can trust us or not to be careful stewards of your tax dollar, to make sure America is safe and secure and prosperous, to make sure we reform the institutions of government.",AppealtoAuthority,Appeal to popular opinion,MCCAIN,15 10 2008
2008,15Oct,6,"All of these things and all the promises and commitments that Senator Obama and I made (inaudible) made to you tonight will base -- will be based on whether you can trust us or not to be careful stewards of your tax dollar, to make sure America is safe and secure and prosperous, to make sure we reform the institutions of government.",AppealtoAuthority,Appeal to popular opinion,MCCAIN,15 10 2008
2008,15Oct,6,"All of these things and all the promises and commitments that Senator Obama and I made (inaudible) made to you tonight will base -- will be based on whether you can trust us or not to be careful stewards of your tax dollar, to make sure America is safe and secure and prosperous, to make sure we reform the institutions of government.",AppealtoAuthority,Appeal to popular opinion,MCCAIN,15 10 2008
1992,15Oct,2,pork barrel,AppealtoEmotion,Loaded Language,BUSH,15 10 1992
1992,15Oct,2,"I ask everybody to look at my economic ideas and 9 Nobel prize winners and over 500 economists and hundreds of business people, including a lot of Republicans said, this is the way you've got to go.",AppealtoAuthority,Appeal to popular opinion,CLINTON,15 10 1992
1992,15Oct,2,Our children will not see the American dream because of this debt that somebody somewhere dropped on us.,Slipperyslope,Slippery slope,PEROT,15 10 1992
2004,08Oct,11,a catastrophic plan,AppealtoEmotion,Loaded Language,BUSH,8 10 2004
2004,08Oct,11,a catastrophic plan,AppealtoEmotion,Loaded Language,BUSH,8 10 2004
2004,08Oct,11,be pandering,AppealtoEmotion,Loaded Language,KERRY,8 10 2004
2004,08Oct,11,He's talking about his plan to keep jobs here. You know he calls it an outsourcing to keep -- stop outsourcing.,AppealtoAuthority,Without Evidence,BUSH,8 10 2004
2004,08Oct,11,He's talking about his plan to keep jobs here. You know he calls it an outsourcing to keep -- stop outsourcing.,AppealtoAuthority,Without Evidence,BUSH,8 10 2004
2004,08Oct,11,"Five million Americans have lost their health care; 620,000 Missourians have no health care at all; 96,000 Missourians have lost their health care under President Bush.",FalseCause,False cause,KERRY,8 10 2004
2004,08Oct,11,"Five million Americans have lost their health care; 620,000 Missourians have no health care at all; 96,000 Missourians have lost their health care under President Bush.",FalseCause,False cause,KERRY,8 10 2004
2004,08Oct,11,"Five million Americans have lost their health care; 620,000 Missourians have no health care at all; 96,000 Missourians have lost their health care under President Bush.",FalseCause,False cause,KERRY,8 10 2004
2004,08Oct,11,"Ladies and gentlemen, that's just not true what he said. The Wall Street Journal said 96 percent of small businesses are not affected at all by my plan.  And you know why he gets that count? The president got $84 from a timber company that owns, and he's counted as a small business. Dick Cheney's counted as a small business. That's how they do things.",AdHominem,Tu quoque,KERRY,8 10 2004
2004,08Oct,11,"Ladies and gentlemen, that's just not true what he said. The Wall Street Journal said 96 percent of small businesses are not affected at all by my plan.  And you know why he gets that count? The president got $84 from a timber company that owns, and he's counted as a small business. Dick Cheney's counted as a small business. That's how they do things.",AdHominem,Tu quoque,KERRY,8 10 2004
2004,08Oct,11,"Ladies and gentlemen, that's just not true what he said. The Wall Street Journal said 96 percent of small businesses are not affected at all by my plan.  And you know why he gets that count? The president got $84 from a timber company that owns, and he's counted as a small business. Dick Cheney's counted as a small business. That's how they do things.",AdHominem,Tu quoque,KERRY,8 10 2004
2004,08Oct,11,"Ladies and gentlemen, that's just not true what he said. The Wall Street Journal said 96 percent of small businesses are not affected at all by my plan.  And you know why he gets that count? The president got $84 from a timber company that owns, and he's counted as a small business. Dick Cheney's counted as a small business. That's how they do things.",AdHominem,Tu quoque,KERRY,8 10 2004
2004,08Oct,11,"Ladies and gentlemen, that's just not true what he said. The Wall Street Journal said 96 percent of small businesses are not affected at all by my plan.  And you know why he gets that count? The president got $84 from a timber company that owns, and he's counted as a small business. Dick Cheney's counted as a small business. That's how they do things.",AdHominem,Tu quoque,KERRY,8 10 2004
2004,08Oct,11,"Ladies and gentlemen, that's just not true what he said. The Wall Street Journal said 96 percent of small businesses are not affected at all by my plan.  And you know why he gets that count? The president got $84 from a timber company that owns, and he's counted as a small business. Dick Cheney's counted as a small business. That's how they do things.",AdHominem,Tu quoque,KERRY,8 10 2004
1984,07Oct,7,lopsided,AppealtoEmotion,Loaded Language,MONDALE,7 10 1984
1984,07Oct,7,killed,AppealtoEmotion,Loaded Language,MONDALE,7 10 1984
1984,07Oct,7,swamping,AppealtoEmotion,Loaded Language,MONDALE,7 10 1984
1984,07Oct,7,ruining,AppealtoEmotion,Loaded Language,MONDALE,7 10 1984
1984,07Oct,7,"Everybody -- every economist, every businessman -- believes that. Your own Council of Economic Advisers -- Mr. Feldstein in his report told you that. Every chairman of the Finance and Ways and Means Committee, Republican leaders in the Senate and the House are telling you that. That deficit is ruining the long-term hopes for this economy.",AppealtoAuthority,Without Evidence,MONDALE,7 10 1984
1984,07Oct,7,"Everybody -- every economist, every businessman -- believes that. Your own Council of Economic Advisers -- Mr. Feldstein in his report told you that. Every chairman of the Finance and Ways and Means Committee, Republican leaders in the Senate and the House are telling you that. That deficit is ruining the long-term hopes for this economy.",AppealtoAuthority,Without Evidence,MONDALE,7 10 1984
1976,22Oct,2,the deep discouragement of the American people,AppealtoEmotion,Loaded Language,CARTER,22 10 1976
1976,22Oct,2,"But I do make a pledge that in the next ten days when we're asking the American people to make one of the most important decisions in their lifetime, because I think this election is one of the mast vital in the history of America, that uh - we do together what we can to stimulate voter participation.",AppealtoEmotion,Flag waving,FORD,22 10 1976
2004,08Oct,3,They're going from tyranny to elections.,AppealtoEmotion,Loaded Language,BUSH,8 10 2004
2004,08Oct,3,Join me in the wrong war at the wrong time at the wrong place.,AppealtoEmotion,Loaded Language,BUSH,8 10 2004
1960,21Oct,7,"We have to let them know that we want to help them, not because we're simply trying to save our own skins, not because we're simply trying to fight Communism; but because we care for them, because we stand for freedom, because if there were no Communism in the world, we would still fight poverty and misery and disease and tyranny.",AppealtoEmotion,Flag waving,NIXON,21 10 1960
1960,21Oct,7,"We have to let them know that we want to help them, not because we're simply trying to save our own skins, not because we're simply trying to fight Communism; but because we care for them, because we stand for freedom, because if there were no Communism in the world, we would still fight poverty and misery and disease and tyranny.",AppealtoEmotion,Flag waving,NIXON,21 10 1960
1960,21Oct,7,"We have to let them know that we want to help them, not because we're simply trying to save our own skins, not because we're simply trying to fight Communism; but because we care for them, because we stand for freedom, because if there were no Communism in the world, we would still fight poverty and misery and disease and tyranny.",AppealtoEmotion,Flag waving,NIXON,21 10 1960
1960,21Oct,7,"We have to let them know that we want to help them, not because we're simply trying to save our own skins, not because we're simply trying to fight Communism; but because we care for them, because we stand for freedom, because if there were no Communism in the world, we would still fight poverty and misery and disease and tyranny.",AppealtoEmotion,Flag waving,NIXON,21 10 1960
1960,21Oct,7,"We have to let them know that we want to help them, not because we're simply trying to save our own skins, not because we're simply trying to fight Communism; but because we care for them, because we stand for freedom, because if there were no Communism in the world, we would still fight poverty and misery and disease and tyranny.",AppealtoEmotion,Flag waving,NIXON,21 10 1960
1960,21Oct,7,"We have to let them know that we want to help them, not because we're simply trying to save our own skins, not because we're simply trying to fight Communism; but because we care for them, because we stand for freedom, because if there were no Communism in the world, we would still fight poverty and misery and disease and tyranny.",AppealtoEmotion,Flag waving,NIXON,21 10 1960
1996,09Oct,1,This is the greatest democracy in the world.,AppealtoEmotion,Flag waving,KEMP,9 10 1996
1996,09Oct,1,the freest press and the greatest First Amendment rights in the history of mankind,AppealtoEmotion,Loaded Language,KEMP,9 10 1996
1996,09Oct,1,Our education is not up to the standards that the American family and the American people want for their children.,AppealtoEmotion,Flag waving,KEMP,9 10 1996
1996,09Oct,1,you serve your party best by serving the nation first,Slogans,Slogan,KEMP,9 10 1996
1976,06Oct,14,One of the uh - most embarrassing uh - failures,AppealtoEmotion,Loaded Language,CARTER,6 10 1976
2016,19Oct,2,But I also believe that there can be and must be reasonable regulation .,AppealtoEmotion,Loaded Language,CLINTON,19 10 2016
2016,19Oct,2,But I also believe that there can be and must be reasonable regulation .,AppealtoEmotion,Loaded Language,CLINTON,19 10 2016
2016,19Oct,2,"Well, the D . C .  vs .  Heller decision was very strongly—and she was extremely angry about it .",AppealtoEmotion,Loaded Language,TRUMP,19 10 2016
2016,19Oct,2,"Well, the D . C .  vs .  Heller decision was very strongly—and she was extremely angry about it .",AppealtoEmotion,Loaded Language,TRUMP,19 10 2016
2016,19Oct,2,"Well, the D . C .  vs .  Heller decision was very strongly—and she was extremely angry about it .",AppealtoEmotion,Loaded Language,TRUMP,19 10 2016
2016,19Oct,2,"I mean, she was very, very angry when upheld .",AppealtoEmotion,Loaded Language,TRUMP,19 10 2016
2016,19Oct,2,"But Hillary was extremely upset, extremely angry .",AppealtoEmotion,Loaded Language,TRUMP,19 10 2016
2016,19Oct,2,"But Hillary was extremely upset, extremely angry .",AppealtoEmotion,Loaded Language,TRUMP,19 10 2016
2016,19Oct,2,"We are going to appoint justices that will feel very strongly about the Second Amendment, that will not do damage to the Second Amendment .",AppealtoEmotion,Loaded Language,TRUMP,19 10 2016
2016,19Oct,2,And people that believe in the Second Amendment and believe in it very strongly were very upset with what she had to say .,AppealtoAuthority,Appeal to popular opinion,TRUMP,19 10 2016
2016,19Oct,2,And people that believe in the Second Amendment and believe in it very strongly were very upset with what she had to say .,AppealtoAuthority,Appeal to popular opinion,TRUMP,19 10 2016
2016,19Oct,2,And people that believe in the Second Amendment and believe in it very strongly were very upset with what she had to say .,AppealtoAuthority,Appeal to popular opinion,CLINTON,19 10 2016
2016,19Oct,2,"And, you know, look, I understand that Donald's been strongly supported by the NRA .  The gun lobby's on his side .  They're running millions of dollars of ads against me .",AdHominem,Circumstantial Ad hominem,WALLACE,19 10 2016
2000,05Oct,2,a significant bread earner,AppealtoEmotion,Loaded Language,LIEBERMAN,5 10 2000
2000,05Oct,2,the only bread earner,AppealtoEmotion,Loaded Language,LIEBERMAN,5 10 2000
2000,05Oct,2,The fact of the matter is the plan is so complex that the ordinary American is never going to ever figure out what they even qualify for.,AppealtoEmotion,Appeal to pity,CHENEY,5 10 2000
2000,05Oct,2,The fact of the matter is the plan is so complex that the ordinary American is never going to ever figure out what they even qualify for.,AppealtoEmotion,Appeal to pity,CHENEY,5 10 2000
2000,05Oct,2,The fact of the matter is the plan is so complex that the ordinary American is never going to ever figure out what they even qualify for.,AppealtoEmotion,Appeal to pity,CHENEY,5 10 2000
2000,05Oct,2,The fact of the matter is the plan is so complex that the ordinary American is never going to ever figure out what they even qualify for.,AppealtoEmotion,Appeal to pity,CHENEY,5 10 2000
1976,06Oct,9,disarray,AppealtoEmotion,Loaded Language,CARTER,6 10 1976
1976,06Oct,9,disarray,AppealtoEmotion,Loaded Language,CARTER,6 10 1976
1976,06Oct,9,We've got two and a half million more Americans out of work now than we had when Mr. Ford took office.,FalseCause,False cause,CARTER,6 10 1976
1976,06Oct,9,"Also, we'll never be strong again overseas, unless we're strong at home.",Slogans,Slogan,CARTER,6 10 1976
1976,06Oct,9,"Also, we'll never be strong again overseas, unless we're strong at home.",Slogans,Slogan,CARTER,6 10 1976
1996,09Oct,2,tremendous progress,AppealtoEmotion,Loaded Language,GORE,9 10 1996
1996,09Oct,2,"Now, I want to congratulate Mr. Kemp for being a lonely voice in the Republican party over the years on this question. It is -- it is with some sadness that I refer to the fact that the day after he joined Senator Dole's ticket, he announced that he was changing his position and was hereto, thereafter going to adopt Senator Dole's position to end all affirmative action.",AppealtoEmotion,Appeal to pity,GORE,9 10 1996
1996,09Oct,2,"That when people own something, they have a stake in the American dream. That is Affirmative Action in America.",AppealtoEmotion,Flag waving,KEMP,9 10 1996
1996,09Oct,2,"That when people own something, they have a stake in the American dream. That is Affirmative Action in America.",AppealtoEmotion,Flag waving,KEMP,9 10 1996
1996,09Oct,2,"With all due respect, I do not believe that Abraham Lincoln would have adopted Bob Dole's position to end all affirmative action.",AppealtoAuthority,False Authority,GORE,9 10 1996
1984,07Oct,6,"Well, the other day, Vice President Bush disclosed his tax returns to the American people. He's one of the wealthiest Americans, and he's our Vice President. In 1981 I think he paid about 40 percent in taxes. In 1983, as a result of these tax preferences, he paid a little over 12 percent, 12.8 percent in taxes. That meant that he paid a lower percent in taxes than the janitor who cleaned up his office or the chauffeur who drives him to work.",AdHominem,Circumstantial Ad hominem,MONDALE,7 10 1984
1984,07Oct,6,"Well, the other day, Vice President Bush disclosed his tax returns to the American people. He's one of the wealthiest Americans, and he's our Vice President. In 1981 I think he paid about 40 percent in taxes. In 1983, as a result of these tax preferences, he paid a little over 12 percent, 12.8 percent in taxes. That meant that he paid a lower percent in taxes than the janitor who cleaned up his office or the chauffeur who drives him to work.",AdHominem,Circumstantial Ad hominem,MONDALE,7 10 1984
1984,07Oct,6,"Well, the other day, Vice President Bush disclosed his tax returns to the American people. He's one of the wealthiest Americans, and he's our Vice President. In 1981 I think he paid about 40 percent in taxes. In 1983, as a result of these tax preferences, he paid a little over 12 percent, 12.8 percent in taxes. That meant that he paid a lower percent in taxes than the janitor who cleaned up his office or the chauffeur who drives him to work.",AdHominem,Circumstantial Ad hominem,MONDALE,7 10 1984
1984,07Oct,6,"Well, the other day, Vice President Bush disclosed his tax returns to the American people. He's one of the wealthiest Americans, and he's our Vice President. In 1981 I think he paid about 40 percent in taxes. In 1983, as a result of these tax preferences, he paid a little over 12 percent, 12.8 percent in taxes. That meant that he paid a lower percent in taxes than the janitor who cleaned up his office or the chauffeur who drives him to work.",AdHominem,Circumstantial Ad hominem,MONDALE,7 10 1984
1984,07Oct,6,"Well, the other day, Vice President Bush disclosed his tax returns to the American people. He's one of the wealthiest Americans, and he's our Vice President. In 1981 I think he paid about 40 percent in taxes. In 1983, as a result of these tax preferences, he paid a little over 12 percent, 12.8 percent in taxes. That meant that he paid a lower percent in taxes than the janitor who cleaned up his office or the chauffeur who drives him to work.",AdHominem,Circumstantial Ad hominem,MONDALE,7 10 1984
1980,28Oct,1,with all my heart,AppealtoEmotion,Loaded Language,REAGAN,28 10 1980
1980,28Oct,1,our first priority must be world peace,AppealtoEmotion,Loaded Language,REAGAN,28 10 1980
1980,28Oct,1,always and only a last resort,AppealtoEmotion,Loaded Language,REAGAN,28 10 1980
1980,28Oct,1,"I have seen four wars in my lifetime. I'm a father of sons; I have a grandson. I don't ever want to see another generation of young Americans bleed their lives into sandy beachheads in the Pacific, or rice paddies and jungles in the in Asia or the muddy battlefields of Europe.",AppealtoEmotion,Appeal to pity,REAGAN,28 10 1980
1980,28Oct,1,"I have seen four wars in my lifetime. I'm a father of sons; I have a grandson. I don't ever want to see another generation of young Americans bleed their lives into sandy beachheads in the Pacific, or rice paddies and jungles in the in Asia or the muddy battlefields of Europe.",AppealtoEmotion,Appeal to pity,REAGAN,28 10 1980
1980,28Oct,1,"I have seen four wars in my lifetime. I'm a father of sons; I have a grandson. I don't ever want to see another generation of young Americans bleed their lives into sandy beachheads in the Pacific, or rice paddies and jungles in the in Asia or the muddy battlefields of Europe.",AppealtoEmotion,Appeal to pity,REAGAN,28 10 1980
1980,28Oct,1,"I have seen four wars in my lifetime. I'm a father of sons; I have a grandson. I don't ever want to see another generation of young Americans bleed their lives into sandy beachheads in the Pacific, or rice paddies and jungles in the in Asia or the muddy battlefields of Europe.",AppealtoEmotion,Appeal to pity,REAGAN,28 10 1980
1980,28Oct,1,"Mr. Stone, I have submitted an economic plan that I have worked out in concert with a number of fine economists in this country, all of whom approve it, and believe that over a five year projection, this plan can permit the extra spending for needed refurbishing of our defensive posture, that it can provide for a balanced budget by 1983 if not earlier, and that we can afford - along with the cuts that I have proposed in Government. spending",AppealtoAuthority,Without Evidence,REAGAN,28 10 1980
1980,28Oct,1,"Mr. Stone, I have submitted an economic plan that I have worked out in concert with a number of fine economists in this country, all of whom approve it, and believe that over a five year projection, this plan can permit the extra spending for needed refurbishing of our defensive posture, that it can provide for a balanced budget by 1983 if not earlier, and that we can afford - along with the cuts that I have proposed in Government. spending",AppealtoAuthority,Without Evidence,REAGAN,28 10 1980
