date,speaker,concatenated_speech
2/10/2008,IFILL,"You both would like to be vice president. Senator Biden, how, as vice president, would you work to shrink this gap of polarization which has sprung up in Washington, which you both have spoken about here tonight?"
2/10/2008,BIDEN,"Well, that’s what I’ve done my whole career, Gwen, on very, very controversial issues, from dealing with violence against women, to putting 100,000 police officers on the street, to trying to get something done about the genocide in — that was going on in Bosnia. And I — I have been able to reach across the aisle. I think it’s fair to say that I have almost as many friends on the Republican side of the aisle as I do the Democratic side of the aisle. But am I able to respond to — are we able to stay on the — on the topic?"
2/10/2008,IFILL,"You may, if you like."
2/10/2008,BIDEN,"Yes, well, you know, until two weeks ago — it was two Mondays ago John McCain said at 9 o’clock in the morning that the fundamentals of the economy were strong. Two weeks before that, he said George — we’ve made great economic progress under George Bush’s policies. Nine o’clock, the economy was strong. Eleven o’clock that same day, two Mondays ago, John McCain said that we have an economic crisis. That doesn’t make John McCain a bad guy, but it does point out he’s out of touch. Those folks on the sidelines knew that two months ago."
2/10/2008,IFILL,"Governor Palin, you may respond."
2/10/2008,PALIN,"John McCain, in referring to the fundamental of our economy being strong, he was talking to and he was talking about the American workforce. And the American workforce is the greatest in this world, with the ingenuity and the work ethic that is just entrenched in our workforce. That’s a positive. That’s encouragement. And that’s what John McCain meant. Now, what I’ve done as a governor and as a mayor is (inaudible) I’ve had that track record of reform. And I’ve joined this team that is a team of mavericks with John McCain, also, with his track record of reform, where we’re known for putting partisan politics aside to just get the job done. Now, Barack Obama, of course, he’s pretty much only voted along his party lines. In fact, 96 percent of his votes have been solely along party line, not having that proof for the American people to know that his commitment, too, is, you know, put the partisanship, put the special interests aside, and get down to getting business done for the people of America. We’re tired of the old politics as usual. And that’s why, with all due respect, I do respect your years in the U.S. Senate, but I think Americans are craving something new and different and that new energy and that new commitment that’s going to come with reform. I think that’s why we need to send the maverick from the Senate and put him in the White House, and I’m happy to join him there."
2/10/2008,IFILL,"Governor, Senator, neither of you really answered that last question about what you would do as vice president. I’m going to come back to that… (LAUGHTER) … throughout the evening to try to see if we can look forward, as well. Now, let’s talk about — the next question is to talk about the subprime lending meltdown. Who do you think was at fault? I start with you, Governor Palin. Was it the greedy lenders? Was it the risky home-buyers who shouldn’t have been buying a home in the first place? And what should you be doing about it?"
2/10/2008,PALIN,"Darn right it was the predator lenders, who tried to talk Americans into thinking that it was smart to buy a $300,000 house if we could only afford a $100,000 house. There was deception there, and there was greed and there is corruption on Wall Street. And we need to stop that. Again, John McCain and I, that commitment that we have made, and we’re going to follow through on that, getting rid of that corruption."
2/10/2008,PALIN,"One thing that Americans do at this time, also, though, is let’s commit ourselves just every day American people, Joe Six Pack, hockey moms across the nation, I think we need to band together and say never again. Never will we be exploited and taken advantage of again by those who are managing our money and loaning us these dollars. We need to make sure that we demand from the federal government strict oversight of those entities in charge of our investments and our savings and we need also to not get ourselves in debt. Let’s do what our parents told us before we probably even got that first credit card. Don’t live outside of our means. We need to make sure that as individuals we’re taking personal responsibility through all of this. It’s not the American peoples fault that the economy is hurting like it is, but we have an opportunity to learn a heck of a lot of good lessons through this and say never again will we be taken advantage of."
2/10/2008,IFILL,Senator?
2/10/2008,BIDEN,"Well Gwen, two years ago Barack Obama warned about the sub prime mortgage crisis. John McCain said shortly after that in December he was surprised there was a sub prime mortgage problem. John McCain while Barack Obama was warning about what we had to do was literally giving an interview to “The Wall Street Journal” saying that I’m always for cutting regulations. We let Wall Street run wild. John McCain and he’s a good man, but John McCain thought the answer is that tried and true Republican response, deregulate, deregulate. So what you had is you had overwhelming “deregulation.” You had actually the belief that Wall Street could self-regulate itself. And while Barack Obama was talking about reinstating those regulations, John on 20 different occasions in the previous year and a half called for more deregulation. As a matter of fact, John recently wrote an article in a major magazine saying that he wants to do for the health care industry deregulate it and let the free market move like he did for the banking industry. So deregulation was the promise. And guess what? Those people who say don’t go into debt, they can barely pay to fill up their gas tank. I was recently at my local gas station and asked a guy named Joey Danco (ph). I said Joey, how much did it cost to fill your tank? You know what his answer was? He said I don’t know, Joe. I never have enough money to do it. The middle class needs relief, tax relief. They need it now. They need help now. The focus will change with Barack Obama."
2/10/2008,IFILL,"Governor, please if you want to respond to what he said about Senator McCain’s comments about health care?"
2/10/2008,PALIN,"I would like to respond about the tax increases. We can speak in agreement here that darn right we need tax relief for Americans so that jobs can be created here. Now, Barack Obama and Senator Biden also voted for the largest tax increases in U.S. history. Barack had 94 opportunities to side on the people’s side and reduce taxes and 94 times he voted to increase taxes or not support a tax reduction, 94 times. Now, that’s not what we need to create jobs and really bolster and heat up our economy. We do need the private sector to be able to keep more of what we earn and produce. Government is going to have to learn to be more efficient and live with less if that’s what it takes to reign in the government growth that we’ve seen today. But we do need tax relief and Barack Obama even supported increasing taxes as late as last year for those families making only $42,000 a year. That’s a lot of middle income average American families to increase taxes on them. I think that is the way to kill jobs and to continue to harm our economy."
2/10/2008,IFILL,Senator?
2/10/2008,BIDEN,"The charge is absolutely not true. Barack Obama did not vote to raise taxes. The vote she’s referring to, John McCain voted the exact same way. It was a budget procedural vote. John McCain voted the same way. It did not raise taxes. Number two, using the standard that the governor uses, John McCain voted 477 times to raise taxes. It’s a bogus standard it but if you notice, Gwen, the governor did not answer the question about deregulation, did not answer the question of defending John McCain about not going along with the deregulation, letting Wall Street run wild. He did support deregulation almost across the board. That’s why we got into so much trouble."
2/10/2008,IFILL,Would you like to have an opportunity to answer that before we move on?
2/10/2008,PALIN,"I’m still on the tax thing because I want to correct you on that again. And I want to let you know what I did as a mayor and as a governor. And I may not answer the questions the way that either the moderator or you want to hear, but I’m going to talk straight to the American people and let them know my track record also. As mayor, every year I was in office I did reduce taxes. I eliminated personal property taxes and eliminated small business inventory taxes and as governor we suspended our state fuel tax. We did all of those things knowing that that is how our economy would be heated up. Now, as for John McCain’s adherence to rules and regulations and pushing for even harder and tougher regulations, that is another thing that he is known for though. Look at the tobacco industry. Look at campaign finance reform."
2/10/2008,IFILL,"OK, our time is up here. We’ve got to move to the next question. Senator Biden, we want to talk about taxes, let’s talk about taxes. You proposed raising taxes on people who earn over $250,000 a year. The question for you is, why is that not class warfare and the same question for you, Governor Palin, is you have proposed a tax employer health benefits which some studies say would actually throw five million more people onto the roles of the uninsured. I want to know why that isn’t taking things out on the poor, starting with you, Senator Biden."
2/10/2008,BIDEN,"Well Gwen, where I come from, it’s called fairness, just simple fairness. The middle class is struggling. The middle class under John McCain’s tax proposal, 100 million families, middle class families, households to be precise, they got not a single change, they got not a single break in taxes. No one making less than $250,000 under Barack Obama’s plan will see one single penny of their tax raised whether it’s their capital gains tax, their income tax, investment tax, any tax. And 95 percent of the people in the United States of America making less than $150,000 will get a tax break. Now, that seems to me to be simple fairness. The economic engine of America is middle class. It’s the people listening to this broadcast. When you do well, America does well. Even the wealthy do well. This is not punitive. John wants to add $300 million, billion in new tax cuts per year for corporate America and the very wealthy while giving virtually nothing to the middle class. We have a different value set. The middle class is the economic engine. It’s fair. They deserve the tax breaks, not the super wealthy who are doing pretty well. They don’t need any more tax breaks. And by the way, they’ll pay no more than they did under Ronald Reagan."
2/10/2008,IFILL,Governor?
2/10/2008,PALIN,"I do take issue with some of the principle there with that redistribution of wealth principle that seems to be espoused by you. But when you talk about Barack’s plan to tax increase affecting only those making $250,000 a year or more, you’re forgetting millions of small businesses that are going to fit into that category. So they’re going to be the ones paying higher taxes thus resulting in fewer jobs being created and less productivity. Now you said recently that higher taxes or asking for higher taxes or paying higher taxes is patriotic. In the middle class of America which is where Todd and I have been all of our lives, that’s not patriotic. Patriotic is saying, government, you know, you’re not always the solution. In fact, too often you’re the problem so, government, lessen the tax burden and on our families and get out of the way and let the private sector and our families grow and thrive and prosper. An increased tax formula that Barack Obama is proposing in addition to nearly a trillion dollars in new spending that he’s proposing is the backwards way of trying to grow our economy."
2/10/2008,IFILL,"Governor, are you interested in defending Senator McCain’s health care plan?"
2/10/2008,PALIN,"I am because he’s got a good health care plan that is detailed. And I want to give you a couple details on that. He’s proposing a $5,000 tax credit for families so that they can get out there and they can purchase their own health care coverage. That’s a smart thing to do. That’s budget neutral. That doesn’t cost the government anything as opposed to Barack Obama’s plan to mandate health care coverage and have universal government run program and unless you’re pleased with the way the federal government has been running anything lately, I don’t think that it’s going to be real pleasing for Americans to consider health care being taken over by the feds. But a $5,000 health care credit through our income tax that’s budget neutral. That’s going to help. And he also wants to erase those artificial lines between states so that through competition, we can cross state lines and if there’s a better plan offered somewhere else, we would be able to purchase that. So affordability and accessibility will be the keys there with that $5,000 tax credit also being offered."
2/10/2008,IFILL,"Thank you, governor. Senator?"
2/10/2008,BIDEN,"Gwen, I don’t know where to start. We don’t call a redistribution in my neighborhood Scranton, Claymont, Wilmington, the places I grew up, to give the fair to say that not giving Exxon Mobil another $4 billion tax cut this year as John calls for and giving it to middle class people to be able to pay to get their kids to college, we don’t call that redistribution. We call that fairness number one. Number two fact, 95 percent of the small businesses in America, their owners make less than $250,000 a year. They would not get one single solitary penny increase in taxes, those small businesses."
2/10/2008,BIDEN,"Now, with regard to the — to the health care plan, you know, it’s with one hand you giveth, the other you take it. You know how Barack Obama — excuse me, do you know how John McCain pays for his $5,000 tax credit you’re going to get, a family will get? He taxes as income every one of you out there, every one of you listening who has a health care plan through your employer. That’s how he raises $3.6 trillion, on your — taxing your health care benefit to give you a $5,000 plan, which his Web site points out will go straight to the insurance company. And then you’re going to have to replace a $12,000 — that’s the average cost of the plan you get through your employer — it costs $12,000. You’re going to have to pay — replace a $12,000 plan, because 20 million of you are going to be dropped. Twenty million of you will be dropped. So you’re going to have to place — replace a $12,000 plan with a $5,000 check you just give to the insurance company. I call that the “Ultimate Bridge to Nowhere.”"
2/10/2008,IFILL,"Thank you, Senator. Now… (LAUGHTER) … I want to get — try to get you both to answer a question that neither of your principals quite answered when my colleague, Jim Lehrer, asked it last week, starting with you, Senator Biden. What promises — given the events of the week, the bailout plan, all of this, what promises have you and your campaigns made to the American people that you’re not going to be able to keep?"
2/10/2008,BIDEN,"Well, the one thing we might have to slow down is a commitment we made to double foreign assistance. We’ll probably have to slow that down. We also are going to make sure that we do not go forward with the tax cut proposals of the administration — of John McCain, the existing one for people making over $250,000, which is $130 billion this year alone. We’re not going to support the $300 billion tax cut that they have for corporate America and the very wealthy. We’re not going to support another $4 billion tax cut for ExxonMobil. And what we’re not going to also hold up on, Gwen, is we cannot afford to hold up on providing for incentives for new jobs by an energy policy, creating new jobs. We cannot slow up on education, because that’s the engine that is going to give us the economic growth and competitiveness that we need. And we are not going to slow up on the whole idea of providing for affordable health care for Americans, none of which, when we get to talk about health care, is as my — as the governor characterized — characterized. The bottom line here is that we are going to, in fact, eliminate those wasteful spending that exist in the budget right now, a number of things I don’t have time, because the light is blinking, that I won’t be able to mention, but one of which is the $100 billion tax dodge that, in fact, allows people to take their post office box off- shore, avoid taxes. I call that unpatriotic. I call that unpatriotic."
2/10/2008,IFILL,Governor?
2/10/2008,BIDEN,That’s what I’m talking about.
2/10/2008,IFILL,Governor?
2/10/2008,PALIN,"Well, the nice thing about running with John McCain is I can assure you he doesn’t tell one thing to one group and then turns around and tells something else to another group, including his plans that will make this bailout plan, this rescue plan, even better. I want to go back to the energy plan, though, because this is — this is an important one that Barack Obama, he voted for in ’05. Senator Biden, you would remember that, in that energy plan that Obama voted for, that’s what gave those oil companies those big tax breaks. Your running mate voted for that. You know what I had to do in the state of Alaska? I had to take on those oil companies and tell them, “No,” you know, any of the greed there that has been kind of instrumental, I guess, in their mode of operation, that wasn’t going to happen in my state. And that’s why Tillerson at Exxon and Mulva at ConocoPhillips, bless their hearts, they’re doing what they need to do, as corporate CEOs, but they’re not my biggest fans, because what I had to do up there in Alaska was to break up a monopoly up there and say, you know, the people are going to come first and we’re going to make sure that we have value given to the people of Alaska with those resources. And those huge tax breaks aren’t coming to the big multinational corporations anymore, not when it adversely affects the people who live in a state and, in this case, in a country who should be benefiting at the same time. So it was Barack Obama who voted for that energy plan that gave those tax breaks to the oil companies that I then had to turn around, as a governor of an energy-producing state, and kind of undo in my own area of expertise, and that’s energy."
2/10/2008,IFILL,"So, Governor, as vice president, there’s nothing that you have promised as a candidate that you would — that you wouldn’t take off the table because of this financial crisis we’re in?"
2/10/2008,PALIN,"There is not. And how long have I been at this, like five weeks? So there hasn’t been a whole lot that I’ve promised, except to do what is right for the American people, put government back on the side of the American people, stop the greed and corruption on Wall Street. And the rescue plan has got to include that massive oversight that Americans are expecting and deserving. And I don’t believe that John McCain has made any promise that he would not be able to keep, either."
2/10/2008,IFILL,Senator?
2/10/2008,BIDEN,"Again, let me — let’s talk about those tax breaks. Barack Obama — Obama voted for an energy bill because, for the first time, it had real support for alternative energy. When there were separate votes on eliminating the tax breaks for the oil companies, Barack Obama voted to eliminate them. John did not. And let me just ask a rhetorical question: If John really wanted to eliminate them, why is he adding to his budget an additional $4 billion in tax cuts for ExxonMobils of the world that, in fact, already have made $600 billion since 2001? And, look, I agree with the governor. She imposed a windfall profits tax up there in Alaska. That’s what Barack Obama and I want to do. We want to be able to do for all of you Americans, give you back $1,000 bucks, like she’s been able to give back money to her folks back there. But John McCain will not support a windfall profits tax. They’ve made $600 billion since 2001, and John McCain wants to give them, all by itself — separate, no additional bill, all by itself — another $4 billion tax cut. If that is not proof of what I say, I’m not sure what can be. So I hope the governor is able to convince John McCain to support our windfall profits tax, which she supported in Alaska, and I give her credit for it."
2/10/2008,IFILL,"Next question, Governor Palin, still on the economy. Last year, Congress passed a bill that would make it more difficult for debt-strapped mortgage-holders to declare bankruptcy, to get out from under that debt. This is something that John McCain supported. Would you have?"
2/10/2008,PALIN,"Yes, I would have. But here, again, there have — there have been so many changes in the conditions of our economy in just even these past weeks that there has been more and more revelation made aware now to Americans about the corruption and the greed on Wall Street. We need to look back, even two years ago, and we need to be appreciative of John McCain’s call for reform with Fannie Mae, with Freddie Mac, with the mortgage-lenders, too, who were starting to really kind of rear that head of abuse. And the colleagues in the Senate weren’t going to go there with him. So we have John McCain to thank for at least warning people. And we also have John McCain to thank for bringing in a bipartisan effort people to the table so that we can start putting politics aside, even putting a campaign aside, and just do what’s right to fix this economic problem that we are in. It is a crisis. It’s a toxic mess, really, on Main Street that’s affecting Wall Street. And now we have to be ever vigilant and also making sure that credit markets don’t seize up. That’s where the Main Streeters like me, that’s where we would really feel the effects."
2/10/2008,IFILL,"Senator Biden, you voted for this bankruptcy bill. Senator Obama voted against it. Some people have said that mortgage- holders really paid the price."
2/10/2008,BIDEN,"Well, mortgage-holders didn’t pay the price. Only 10 percent of the people who are — have been affected by this whole switch from Chapter 7 to Chapter 13 — it gets complicated. But the point of this — Barack Obama saw the glass as half- empty. I saw it as half-full. We disagreed on that, and 85 senators voted one way, and 15 voted the other way. But here’s the deal. Barack Obama pointed out two years ago that there was a subprime mortgage crisis and wrote to the secretary of Treasury. And he said, “You’d better get on the stick here. You’d better look at it.” John McCain said as early as last December, quote — I’m paraphrasing — “I’m surprised about this subprime mortgage crisis,” number one. Number two, with regard to bankruptcy now, Gwen, what we should be doing now — and Barack Obama and I support it — we should be allowing bankruptcy courts to be able to re-adjust not just the interest rate you’re paying on your mortgage to be able to stay in your home, but be able to adjust the principal that you owe, the principal that you owe. That would keep people in their homes, actually help banks by keeping it from going under. But John McCain, as I understand it — I’m not sure of this, but I believe John McCain and the governor don’t support that. There are ways to help people now. And there — ways that we’re offering are not being supported by — by the Bush administration nor do I believe by John McCain and Governor Palin."
2/10/2008,IFILL,"Governor Palin, is that so?"
2/10/2008,PALIN,"That is not so, but because that’s just a quick answer, I want to talk about, again, my record on energy versus your ticket’s energy ticket, also. I think that this is important to come back to, with that energy policy plan again that was voted for in ’05. When we talk about energy, we have to consider the need to do all that we can to allow this nation to become energy independent. It’s a nonsensical position that we are in when we have domestic supplies of energy all over this great land. And East Coast politicians who don’t allow energy-producing states like Alaska to produce these, to tap into them, and instead we’re relying on foreign countries to produce for us."
2/10/2008,PALIN,"We’re circulating about $700 billion a year into foreign countries, some who do not like America — they certainly don’t have our best interests at heart — instead of those dollars circulating here, creating tens of thousands of jobs and allowing domestic supplies of energy to be tapped into and start flowing into these very, very hungry markets. Energy independence is the key to this nation’s future, to our economic future, and to our national security. So when we talk about energy plans, it’s not just about who got a tax break and who didn’t. And we’re not giving oil companies tax breaks, but it’s about a heck of a lot more than that. Energy independence is the key to America’s future."
2/10/2008,IFILL,"Governor, I’m happy to talk to you in this next section about energy issues. Let’s talk about climate change. What is true and what is false about what we have heard, read, discussed, debated about the causes of climate change?"
2/10/2008,PALIN,"Yes. Well, as the nation’s only Arctic state and being the governor of that state, Alaska feels and sees impacts of climate change more so than any other state. And we know that it’s real. I’m not one to attribute every man — activity of man to the changes in the climate. There is something to be said also for man’s activities, but also for the cyclical temperature changes on our planet. But there are real changes going on in our climate. And I don’t want to argue about the causes. What I want to argue about is, how are we going to get there to positively affect the impacts? We have got to clean up this planet. We have got to encourage other nations also to come along with us with the impacts of climate change, what we can do about that. As governor, I was the first governor to form a climate change sub-cabinet to start dealing with the impacts. We’ve got to reduce emissions. John McCain is right there with an “all of the above” approach to deal with climate change impacts. We’ve got to become energy independent for that reason. Also as we rely more and more on other countries that don’t care as much about the climate as we do, we’re allowing them to produce and to emit and even pollute more than America would ever stand for. So even in dealing with climate change, it’s all the more reason that we have an “all of the above” approach, tapping into alternative sources of energy and conserving fuel, conserving our petroleum products and our hydrocarbons so that we can clean up this planet and deal with climate change."
2/10/2008,IFILL,"Senator, what is true and what is false about the causes?"
2/10/2008,BIDEN,"Well, I think it is manmade. I think it’s clearly manmade. And, look, this probably explains the biggest fundamental difference between John McCain and Barack Obama and Sarah Palin and Joe Biden — Governor Palin and Joe Biden. If you don’t understand what the cause is, it’s virtually impossible to come up with a solution. We know what the cause is. The cause is manmade. That’s the cause. That’s why the polar icecap is melting. Now, let’s look at the facts. We have 3 percent of the world’s oil reserves. We consume 25 percent of the oil in the world. John McCain has voted 20 times in the last decade-and-a-half against funding alternative energy sources, clean energy sources, wind, solar, biofuels. The way in which we can stop the greenhouse gases from emitting. We believe — Barack Obama believes by investing in clean coal and safe nuclear, we can not only create jobs in wind and solar here in the United States, we can export it. China is building one to three new coal-fired plants burning dirty coal per week. It’s polluting not only the atmosphere but the West Coast of the United States. We should export the technology by investing in clean coal technology. We should be creating jobs. John McCain has voted 20 times against funding alternative energy sources and thinks, I guess, the only answer is drill, drill, drill. Drill we must, but it will take 10 years for one drop of oil to come out of any of the wells that are going to begun to be drilled. In the meantime, we’re all going to be in real trouble."
2/10/2008,IFILL,"Let me clear something up, Senator McCain has said he supports caps on carbon emissions. Senator Obama has said he supports clean coal technology, which I don’t believe you’ve always supported."
2/10/2008,BIDEN,I have always supported it. That’s a fact.
2/10/2008,IFILL,"Well, clear it up for us, both of you, and start with Governor Palin."
2/10/2008,PALIN,"Yes, Senator McCain does support this. The chant is “drill, baby, drill.” And that’s what we hear all across this country in our rallies because people are so hungry for those domestic sources of energy to be tapped into. They know that even in my own energy-producing state we have billions of barrels of oil and hundreds of trillions of cubic feet of clean, green natural gas. And we’re building a nearly $40 billion natural gas pipeline which is North America’s largest and most you expensive infrastructure project ever to flow those sources of energy into hungry markets. Barack Obama and Senator Biden, you’ve said no to everything in trying to find a domestic solution to the energy crisis that we’re in. You even called drilling — safe, environmentally-friendly drilling offshore as raping the outer continental shelf. There — with new technology, with tiny footprints even on land, it is safe to drill and we need to do more of that. But also in that “all of the above” approach that Senator McCain supports, the alternative fuels will be tapped into: the nuclear, the clean coal. I was surprised to hear you mention that because you had said that there isn’t anything — such a thing as clean coal. And I think you said it in a rope line, too, at one of your rallies."
2/10/2008,IFILL,"We do need to keep within our two minutes. But I just wanted to ask you, do you support capping carbon emissions?"
2/10/2008,PALIN,I do. I do.
2/10/2008,IFILL,OK. And on the clean coal issue?
2/10/2008,BIDEN,"Absolutely. Absolutely we do. We call for setting hard targets, number one…"
2/10/2008,IFILL,Clean coal.
2/10/2008,BIDEN,"Oh, I’m sorry."
2/10/2008,IFILL,On clean coal.
2/10/2008,BIDEN,"Oh, on clean coal. My record, just take a look at the record. My record for 25 years has supported clean coal technology. A comment made in a rope line was taken out of context. I was talking about exporting that technology to China so when they burn their dirty coal, it won’t be as dirty, it will be clean. But here’s the bottom line, Gwen: How do we deal with global warming with continued addition to carbon emissions? And if the only answer you have is oil, and John — and the governor says John is for everything. Well, why did John vote 20 times? Maybe he’s for everything as long as it’s not helped forward by the government. Maybe he’s for everything if the free market takes care of it. I don’t know. But he voted 20 times against funding alternative energy sources."
2/10/2008,IFILL,"The next round of — pardon me, the next round of questions starts with you, Senator Biden. Do you support, as they do in Alaska, granting same-sex benefits to couples? BIDEN: Absolutely. Do I support granting same-sex benefits? Absolutely positively. Look, in an Obama-Biden administration, there will be absolutely no distinction from a constitutional standpoint or a legal standpoint between a same-sex and a heterosexual couple. The fact of the matter is that under the Constitution we should be granted — same-sex couples should be able to have visitation rights in the hospitals, joint ownership of property, life insurance policies, et cetera. That’s only fair. It’s what the Constitution calls for. And so we do support it. We do support making sure that committed couples in a same-sex marriage are guaranteed the same constitutional benefits as it relates to their property rights, their rights of visitation, their rights to insurance, their rights of ownership as heterosexual couples do."
2/10/2008,IFILL,"Governor, would you support expanding that beyond Alaska to the rest of the nation?"
2/10/2008,PALIN,"Well, not if it goes closer and closer towards redefining the traditional definition of marriage between one man and one woman. And unfortunately that’s sometimes where those steps lead. But I also want to clarify, if there’s any kind of suggestion at all from my answer that I would be anything but tolerant of adults in America choosing their partners, choosing relationships that they deem best for themselves, you know, I am tolerant and I have a very diverse family and group of friends and even within that group you would see some who may not agree with me on this issue, some very dear friends who don’t agree with me on this issue. But in that tolerance also, no one would ever propose, not in a McCain-Palin administration, to do anything to prohibit, say, visitations in a hospital or contracts being signed, negotiated between parties. But I will tell Americans straight up that I don’t support defining marriage as anything but between one man and one woman, and I think through nuances we can go round and round about what that actually means. But I’m being as straight up with Americans as I can in my non- support for anything but a traditional definition of marriage."
2/10/2008,IFILL,"Let’s try to avoid nuance, Senator. Do you support gay marriage?"
2/10/2008,BIDEN,"No. Barack Obama nor I support redefining from a civil side what constitutes marriage. We do not support that. That is basically the decision to be able to be able to be left to faiths and people who practice their faiths the determination what you call it. The bottom line though is, and I’m glad to hear the governor, I take her at her word, obviously, that she think there should be no civil rights distinction, none whatsoever, between a committed gay couple and a committed heterosexual couple. If that’s the case, we really don’t have a difference."
2/10/2008,IFILL,Is that what your said?
2/10/2008,PALIN,Your question to him was whether he supported gay marriage and my answer is the same as his and it is that I do not.
2/10/2008,IFILL,"Wonderful. You agree. On that note, let’s move to foreign policy. (LAUGHTER)"
2/10/2008,IFILL,"You both have sons who are in Iraq or on their way to Iraq. You, Governor Palin, have said that you would like to see a real clear plan for an exit strategy. What should that be, Governor?"
2/10/2008,PALIN,"I am very thankful that we do have a good plan and the surge and the counterinsurgency strategy in Iraq that has proven to work, I am thankful that that is part of the plan implemented under a great American hero, General Petraeus, and pushed hard by another great American, Senator John McCain. I know that the other ticket opposed this surge, in fact, even opposed funding for our troops in Iraq and Afghanistan. Barack Obama voted against funding troops there after promising that he would not do so."
2/10/2008,PALIN,"And Senator Biden, I respected you when you called him out on that. You said that his vote was political and you said it would cost lives. And Barack Obama at first said he would not do that. He turned around under political pressure and he voted against funding the troops. We do have a plan for withdrawal. We don’t need early withdrawal out of Iraq. We cannot afford to lose there or we’re going to be no better off in the war in Afghanistan either. We have got to win in Iraq. And with the surge that has worked we’re now down to presurge numbers in Iraq. That’s where we can be. We can start putting more troops in Afghanistan as we also work with our NATO allies who are there strengthening us and we need to grow our military. We cannot afford to lose against al Qaeda and the Shia extremists who are still there, still fighting us, but we’re getting closer and closer to victory. And it would be a travesty if we quit now in Iraq."
2/10/2008,IFILL,Senator?
